sentence,place,category,time
오늘 뭐 먹지?,,,
저녁 메뉴 추천해줘,,,저녁
카페 추천 부탁해,,카페,
점심에 친구랑 먹기 좋은 음식점 추천,,,점심
학교 근처에 저녁 메뉴 괜찮은 곳 있나,,,저녁
브런치 할만한 예쁜 카페 있어?,,"카페, 브런치",점심
오늘 저녁 뭐 먹을지 추천 부탁해,,,저녁
친구랑 갈만한 카페 추천해줘,,카페,
지금 열려있는 야식집 있으면 알려줘,,,야식
혼자서 가기 좋은 음식점 추천 부탁해,,,
학교 주변 분위기 좋은 카페 추천,,카페,
분식 맛있는 곳 어디 있어?,,분식,
점심 먹기 좋은 카페 있어?,,브런치,
혼자 갈만한 음식점 추천해줘,,,
칠암동에서 점심 먹을 한식 맛집 추천해줘,칠암,한식,점심
가좌동에 저녁에 갈만한 중식당 추천 부탁해,가좌,중식,저녁
칠암동 주변에서 친구들이랑 갈만한 카페 있어?,칠암,카페,
가좌동 근처 분식 맛있는 집 알려줘,가좌,분식,
저녁시간에 칠암동에서 양식 먹으려는데 추천 좀 해줘,칠암,양식,저녁
가좌동 근처에 괜찮은 일식집 있어?,가좌,일식,
칠암동에서 친구들과 함께 갈 수 있는 맛집 추천,칠암,,
가좌동 근처 맛있는 국밥집 있으면 알려줘,가좌,국밥,
칠암동에서 지금 문 연 야식 맛집 있나?,칠암,,야식
가좌동에서 점심에 혼자 가기 좋은 식당 추천 부탁해,가좌,,점심
칠암동에서 저녁 메뉴 고민인데 좋은 곳 추천해줘,칠암,,저녁
가좌동에서 파스타 잘하는 식당 추천 부탁해,가좌,스파게티,
점심에 칠암동에서 카페 추천해줘,칠암,카페,점심
가좌동에서 분위기 좋은 양식당 있으면 알려줘,가좌,양식,
칠암동 근처에서 간단히 먹을 수 있는 분식집 추천 부탁해,칠암,분식,
저녁에 가좌동 근처에서 스시 먹고 싶은데 추천해줘,가좌,일식,저녁
칠암동에서 친구랑 같이 갈만한 중식당 추천해줘,칠암,중식,
가좌동에서 혼자서 조용히 갈 수 있는 카페 추천,가좌,카페,
칠암동 근처 저렴하고 맛있는 음식점 추천 부탁해,칠암,,
가좌동에서 저녁 먹기 좋은 고기집 추천해줘,가좌,고기,저녁
칠암동 근처에서 떡볶이 맛있는 곳 추천,칠암,분식,
가좌동 주변 저녁 메뉴 추천 부탁해,가좌,,저녁
칠암동에서 점심 먹을만한 양식 맛집 추천 부탁해,칠암,양식,점심
가좌동에서 가성비 좋은 중식 맛집 추천,가좌,중식,
칠암동 근처에서 혼밥하기 좋은 음식점 추천 부탁해,칠암,,
가좌동 근처에서 야식 먹기 좋은 식당 추천 부탁해,가좌,,야식
칠암동 근처에서 스파게티 맛있는 곳 추천해줘,칠암,스파게티,
가좌동에서 친구들과 점심 먹기 좋은 카페 추천 부탁해,가좌,"카페, 브런치",점심
칠암동에서 지금 영업 중인 음식점 있나?,칠암,,
가좌동에서 친구랑 갈만한 분식 맛집 추천해줘,가좌,분식,
칠암동에서 점심 먹을 한식 맛집 추천해줘,칠암,한식,점심
가좌동에 저녁에 갈만한 중식당 추천 부탁해,가좌,중식,저녁
칠암동에 저녁에 갈만한 초밥집 추천 부탁해,칠암,초밥,저녁
가좌동 근처 점심에 먹기 좋은 돈까스 맛집 추천해줘,가좌,돈까스,점심
칠암동에서 저녁에 맛있는 고깃집 있으면 추천 부탁해,칠암,고기,저녁
가좌동에 친구랑 점심 먹기 좋은 파스타집 추천해줘,가좌,파스타,점심
칠암동 근처에 혼자 점심 먹기 좋은 국밥집 추천해줘,칠암,국밥,
가좌동에서 저녁에 갈만한 샤브샤브 맛집 추천 부탁해,가좌,샤브,저녁
칠암동에서 저녁에 친구랑 갈만한 매운탕 맛집 추천해줘,칠암,매운탕,저녁
가좌동에서 친구랑 점심 먹기 좋은 쌈밥집 추천 부탁해,가좌,쌈밥,점심
칠암동에서 혼자 점심 먹을만한 도시락집 추천 부탁해,칠암,"도시락, 컵밥",
가좌동 근처 저녁에 먹기 좋은 스테이크 맛집 추천해줘,가좌,스테이크,저녁
칠암동 근처 점심에 먹을만한 우동집 추천 부탁해,칠암,우동,점심
가좌동에 저녁에 갈만한 닭발 맛집 추천해줘,가좌,닭발,저녁
칠암동에서 친구랑 점심에 갈만한 햄버거집 추천 부탁해,칠암,햄버거,점심
가좌동에서 친구들이랑 저녁에 갈만한 족발 맛집 추천해줘,가좌,족발,저녁
칠암동 근처에 혼자 갈만한 카페 추천 부탁해,칠암,카페,
가좌동에서 저녁에 갈만한 찜닭 맛집 추천해줘,가좌,찜닭,저녁
칠암동에 점심 먹을만한 국수 맛집 추천 부탁해,칠암,국수,점심
가좌동 근처에 친구랑 저녁에 먹을만한 꼬치집 추천해줘,가좌,꼬치,저녁
가좌동 점심 추천해줘,가좌,,점심
가좌동 저녁 추천해줘,가좌,,저녁
가좌동 야식 추천해줘,가좌,,야식
칠암동 점심 추천해줘,칠암,,점심
칠암동 저녁 추천해줘,칠암,,저녁
칠암동 야식 추천해줘,칠암,,야식
